RND,real_estate_agent,Москва,sale,flat,10,5,178.0,137900000.0,Дорогомилово,Студенческая ,20к1,Студенческая,
Владис,real_estate_agent,Москва,sale,flat,13,5,148.0,34000000.0,Восточное Дегунино,Дубнинская ,26К1,Яхромская,
Tekta Group,developer,Москва,sale,flat,34,5,108.3,45204420.0,Нагорный,,2,Нагорная,Твелв ЖК
ZIP Realty,real_estate_agent,Москва,sale,flat,10,5,200.0,69900000.0,Кунцево, Маршала Тимошенко,17К2,Крылатское,
ID 13953021,homeowner,Москва,sale,flat,17,5,112.0,43000000.0,Черемушки,Новочеремушкинская ,49К1,Профсоюзная,
Центр-Инвест,developer,Москва,sale,flat,9,5,296.4,260639043.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,5,5,141.2,116000000.0,Мещанский,Последний переулок,5С1,Сухаревская,
Азиза Шажен-Батуева,realtor,Москва,sale,flat,12,5,102.0,22200000.0,Отрадное, Бестужевых,12,Отрадное,
Ташир,developer,Москва,sale,flat,21,5,214.0,107856000.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
Whitewill,real_estate_agent,Москва,sale,flat,11,5,343.0,825000000.0,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
Century21 Феникс,real_estate_agent,Москва,sale,flat,16,5,112.5,29950000.0,Братеево,Братеевская ,16К6,Алма-Атинская,
ФСК,developer,Москва,sale,flat,47,5,128.0,89824000.0,Обручевский,,,Калужская,Архитектор ЖК
NIKA ESTATE,real_estate_agent,Москва,sale,flat,8,5,222.0,257000000.0,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад
Whitewill,real_estate_agent,Москва,sale,flat,8,5,469.9,1800000000.0,Хамовники, Пречистенка,13,Кропоткинская,Пречистенка 13
Донстрой,developer,Москва,sale,flat,19,5,224.5,299932000.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35
Whitewill,real_estate_agent,Москва,sale,flat,8,5,222.0,257500000.0,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,260.0,197000000.0,Хамовники, Остоженка,5,Кропоткинская,
Level Group,developer,Москва,sale,flat,13,5,111.8,48556211.0,Басманный,Большая Почтовая ,,Электрозаводская,Level Бауманская
PEOPLE,real_estate_agent,Москва,sale,flat,21,5,242.0,240000000.0,Пресненский, Сергея Макеева,9,Улица 1905 года,RedSide
Светлана Носова,realtor,Москва,sale,flat,23,5,125.2,63000000.0,Ясенево,Новоясеневский проспект,9,Ясенево,Новоясеневский
St Michael,developer,Москва,sale,flat,20,5,97.09,,Хорошево-Мневники, Берзарина,,Серебряный Бор,Квартал Серебряный Бор
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,22,5,183.2,139500000.0,Раменки,Мичуринский проспект,34,Раменки,
ID 77800543,realtor,Москва,sale,flat,5,5,188.1,105000000.0,Тверской, Малая Дмитровка,23/15С2,Пушкинская,
ДомДау,developer,Москва,sale,flat,85,5,218.51,,Пресненский,Московский международный деловой центр Москва-Сити тер.,,,Дом Дау
